id,Name_eng,Name_fr,countrycode,Continent,spoken_languages
164,Sweden,Suède,swe,EU,84
165,Eswatini,Eswatini,swz,AF,"18,80"
166,Seychelles,Seychelles,syc,AF,"24,3"
167,Syrian Arab Republic,Syrie,syr,AS,"3,41"
168,Chad,Tchad,tcd,AF,"3,24"
169,Togo,Togo,tgo,AF,24
170,Thailand,Thaïlande,tha,AS,88
171,Tajikistan,Tadjikistan,tjk,AS,"87,68"
172,Turkmenistan,Turkménistan,tkm,AS,"93,68"
173,Timor-Leste,Timor oriental,tls,OC,"63,86"
174,Tonga,Tonga,ton,OC,"18,90"
175,Trinidad and Tobago,Trinité-et-Tobago,tto,NA,18
176,Tunisia,Tunisie,tun,AF,3
177,Turkey,Turquie,tur,AS,"94,41"
178,Tuvalu,Tuvalu,tuv,OC,"18,95"
179,Tanzania,Tanzanie,tza,AF,"18,82"
180,Uganda,Ouganda,uga,AF,18
181,Ukraine,Ukraine,ukr,EU,96
182,Uruguay,Uruguay,ury,SA,77
183,United States of America,États-Unis,usa,NA,18
184,Uzbekistan,Ouzbékistan,uzb,AS,"98,68"
185,Saint Vincent and the Grenadines,Saint-Vincent-et-les-Grenadines,vct,NA,18
186,Venezuela ,Venezuela,ven,SA,77
187,Viet Nam,Viêt Nam,vnm,AS,99
188,Vanuatu,Vanuatu,vut,OC,"18,24"
189,Samoa,Samoa,wsm,OC,"73,18"
190,Yemen,Yémen,yem,AS,3
191,South Africa,Afrique du Sud,zaf,AF,"18,100,1,103,60,91,92"
192,Zambia,Zambie,zmb,AF,18
193,Zimbabwe,Zimbabwe,zwe,AF,18
